Order ID,Customer ID,Product ID,Quantity,Total Price
10076,C444,P12,1,213.36
10077,C455,P11,3,1068.11
10078,C428,P17,3,1029.15
10079,C264,P04,5,806.91
10080,C431,P15,1,182.7
10081,C035,P09,6,2091.91
10082,C206,P20,7,1059.04
10083,C081,P19,3,618.22
10084,C420,P19,4,1736.39
10085,C050,P12,3,692.51
10086,C360,P05,1,295.22
10087,C388,P10,8,3811.65
10088,C002,P17,2,381.72
10089,C390,P05,1,255.85
10090,C054,P16,8,2740.66
10091,C106,P07,7,2814.95
10092,C260,P09,7,3224.63
10093,C310,P03,4,1864.76
10094,C477,P15,9,3695.9
10095,C191,P16,6,1147.99
10096,C402,P18,2,219.85
10097,C218,P14,1,253.51
10098,C044,P03,1,156.62
10099,C162,P12,9,3457.4
10100,C202,P09,4,1457.81
10101,C446,P07,5,587.94
10102,C484,P09,3,1303.91
10103,C270,P13,4,797.99
10104,C351,P18,8,2183.13
10105,C304,P05,4,1468.69
10106,C271,P13,9,2445.91
10107,C456,P04,9,2488.64
10108,C462,P02,6,757.51
10109,C215,P16,2,521.15
10110,C252,P09,7,2841.57
10111,C190,P09,9,4194.63
10112,C296,P06,6,1592.39
10113,C213,P11,3,808.3
10114,C208,P01,7,2667.36
10115,C237,P04,5,2385.54
10116,C338,P13,1,206.82
10117,C367,P13,3,828.17
10118,C053,P13,5,2091.95
10119,C280,P02,7,2407.14
10120,C410,P09,3,432.7
10121,C217,P08,6,2106.56
10122,C252,P07,5,873.49
10123,C188,P04,1,304.09
10124,C380,P18,6,1869.85
10125,C493,P03,8,3603.85
10126,C041,P06,1,285.0
10127,C157,P12,2,423.55
10128,C015,P12,4,769.55
10129,C301,P08,2,899.4
10130,C065,P01,9,1515.64
10131,C345,P04,8,2162.78
10132,C327,P11,8,1398.95
10133,C009,P03,4,1637.29
10134,C344,P13,5,1448.75
10135,C129,P17,4,961.83
10136,C492,P10,9,2199.96
10137,C136,P12,2,881.77
10138,C472,P15,8,2572.08
10139,C063,P10,2,774.29
10140,C139,P14,1,458.82
10141,C499,P13,3,1382.09
10142,C081,P05,9,2082.63
10143,C392,P06,3,1442.94
10144,C163,P02,9,989.55
10145,C419,P17,7,1755.14
10146,C289,P04,1,458.32
10147,C379,P14,5,1049.27
10148,C261,P10,9,1883.09
10149,C490,P03,3,663.15
10150,C231,P03,9,3104.33
10151,C041,P15,5,1376.67
10152,C028,P06,9,3516.25
10153,C135,P17,6,2747.79
10154,C201,P12,9,3327.12
10155,C328,P20,7,1272.51
10156,C268,P11,7,3311.51
10157,C418,P04,8,1646.38
10158,C033,P06,7,1119.7
10159,C048,P01,9,1223.88
10160,C407,P20,9,2928.18
10161,C062,P16,6,873.03
10162,C216,P15,7,1088.57
10163,C293,P17,2,440.02
10164,C099,P08,9,1913.95
10165,C172,P12,1,341.7
10166,C360,P10,1,426.7
10167,C214,P15,3,1213.62
10168,C475,P09,6,1229.96
10169,C035,P02,5,990.62
10170,C449,P05,2,972.63
10171,C227,P06,9,929.65
10172,C101,P07,4,1807.55
10173,C431,P01,4,719.57
10174,C462,P07,5,2394.57
10175,C131,P20,8,1895.38
10176,C257,P12,4,1104.56
10177,C005,P16,5,1914.24
10178,C218,P16,4,1340.27
10179,C255,P11,6,1363.05
10180,C398,P04,3,964.6
10181,C359,P13,8,3138.26
10182,C283,P07,6,701.6
10183,C393,P04,5,522.4
10184,C207,P15,2,566.45
10185,C015,P19,7,1069.14
10186,C346,P09,2,731.48
10187,C042,P11,1,185.62
10188,C380,P08,7,1911.98
10189,C461,P01,5,895.34
10190,C179,P08,1,319.39
10191,C063,P13,4,585.69
10192,C352,P04,4,436.97
10193,C231,P08,7,843.17
10194,C241,P03,9,4335.33
10195,C052,P09,2,313.83
10196,C096,P02,1,383.39
10197,C388,P02,2,254.34
10198,C222,P13,7,1002.85
10199,C485,P15,6,1821.3
10200,C407,P12,4,1143.79
10201,C231,P04,1,480.63
10202,C237,P08,1,477.93
10203,C143,P09,5,2059.22
10204,C171,P05,1,340.84
10205,C029,P20,7,1973.89
10206,C036,P18,1,242.47
10207,C013,P11,1,478.84
10208,C160,P15,2,682.33
10209,C327,P09,3,994.89
10210,C187,P17,1,192.76
10211,C243,P12,9,1068.11
10212,C086,P07,8,3824.6
10213,C284,P10,5,1127.47
10214,C066,P10,2,554.07
10215,C170,P13,5,729.28
10216,C045,P19,6,2608.62
10217,C062,P11,1,111.05
10218,C441,P13,4,1734.39
10219,C134,P08,9,1405.03
10220,C284,P08,2,909.25
10221,C028,P04,5,1959.55
10222,C108,P15,1,165.87
10223,C044,P11,4,1305.31
10224,C340,P11,4,900.25
10225,C286,P01,6,1027.76
10226,C446,P17,9,3993.06
10227,C331,P15,3,784.23
10228,C128,P20,9,2334.76
10229,C348,P06,6,1007.73
10230,C473,P15,7,1772.58
10231,C231,P09,2,897.29
10232,C190,P14,6,1471.51
10233,C225,P18,6,2883.85
10234,C385,P17,2,957.05
10235,C377,P18,2,315.92
10236,C283,P05,2,341.85
10237,C446,P20,1,445.07
10238,C121,P20,5,1285.52
10239,C116,P09,8,814.0
10240,C461,P11,2,419.1
10241,C233,P01,5,1695.26
10242,C259,P18,8,3357.65
10243,C359,P06,5,766.78
10244,C198,P02,2,288.43
10245,C456,P15,3,1406.51
10246,C411,P14,6,2402.76
10247,C137,P05,5,1679.56
10248,C318,P06,4,1630.7
10249,C165,P06,4,1086.17
10250,C225,P18,5,2016.91
10251,C307,P14,2,497.44
10252,C234,P10,9,1778.74
10253,C172,P14,2,783.21
10254,C152,P13,2,535.74
10255,C463,P03,9,4432.96
10256,C315,P06,3,719.38
10257,C374,P08,7,3280.84
10258,C160,P12,4,1892.74
10259,C096,P13,6,1180.45
10260,C472,P11,4,1677.15
10261,C233,P12,7,1912.61
10262,C180,P01,1,467.01
10263,C113,P17,3,840.15
10264,C318,P16,3,1193.16
10265,C497,P11,1,286.79
10266,C442,P13,6,1146.72
10267,C052,P18,9,1617.66
10268,C268,P11,8,2161.38
10269,C295,P12,7,2815.39
10270,C386,P06,8,2736.23
10271,C387,P09,6,2252.71
10272,C113,P16,9,1916.37
10273,C101,P04,3,877.72
10274,C113,P03,9,1059.82
10275,C440,P16,4,1708.05
10276,C081,P12,7,3471.7
10277,C187,P11,9,2364.76
10278,C113,P05,2,208.77
10279,C002,P18,2,335.83
10280,C130,P19,9,3249.1
10281,C220,P06,3,1034.5
10282,C054,P18,9,3736.31
10283,C343,P06,5,1007.77
10284,C485,P04,6,2432.72
10285,C224,P12,2,750.39
10286,C225,P19,8,1833.01
10287,C385,P02,9,2863.76
10288,C403,P17,2,317.82
10289,C126,P11,6,1686.15
10290,C130,P11,6,2714.87
10291,C053,P16,8,2147.81
10292,C172,P02,5,2179.13
10293,C218,P02,9,3024.91
10294,C160,P08,1,176.75
10295,C198,P13,9,2991.98
10296,C416,P10,7,2116.75
10297,C247,P08,4,1037.83
10298,C324,P04,3,443.56
10299,C439,P15,6,1600.1
10300,C203,P01,1,129.1
10301,C184,P11,3,418.52
10302,C123,P07,2,532.73
10303,C401,P17,9,1999.37
10304,C255,P20,3,1410.65
10305,C294,P18,2,500.56
10306,C280,P12,4,1612.57
10307,C325,P09,2,624.2
10308,C372,P05,1,381.63
10309,C098,P10,6,1224.28
10310,C198,P04,8,3814.1
10311,C470,P05,2,624.07
10312,C395,P10,9,3892.77
10313,C240,P11,3,738.05
10314,C144,P10,8,1120.68
10315,C097,P08,8,2955.88
10316,C201,P02,3,309.31
10317,C124,P08,3,870.35
10318,C187,P16,6,1062.72
10319,C326,P05,1,350.95
10320,C464,P03,4,1967.07
10321,C349,P12,1,285.76
10322,C259,P13,3,1281.0
10323,C148,P13,9,2728.02
10324,C252,P10,5,1491.68
10325,C443,P04,5,2360.85
10326,C420,P09,4,1823.95
10327,C403,P02,3,1242.96
10328,C346,P19,5,1092.51
10329,C451,P01,4,1272.01
10330,C147,P07,8,1516.47
10331,C148,P17,4,1110.27
10332,C352,P03,8,2349.48
10333,C199,P20,6,2595.94
10334,C308,P20,5,2292.06
10335,C489,P03,4,1063.39
10336,C417,P03,4,428.33
10337,C424,P17,4,1778.84
10338,C128,P07,9,1527.4
10339,C039,P14,4,1395.01
10340,C338,P17,9,989.9
10341,C360,P18,6,1558.82
10342,C129,P13,7,3460.69
10343,C267,P20,3,420.83
10344,C476,P20,8,2155.82
10345,C441,P18,3,668.58
10346,C473,P04,1,462.04
10347,C434,P01,5,2238.68
10348,C151,P18,2,390.16
10349,C415,P01,6,794.85
10350,C478,P13,9,3157.7
10351,C298,P20,1,234.55
10352,C099,P20,4,1475.34
10353,C263,P10,1,112.85
10354,C252,P11,1,153.36
10355,C144,P09,8,2996.39
10356,C346,P09,2,369.9
10357,C112,P05,1,443.04
10358,C500,P01,8,987.49
10359,C060,P17,4,744.77
10360,C369,P02,3,1498.27
10361,C002,P13,4,1092.92
10362,C385,P09,5,1905.93
10363,C304,P04,1,173.07
10364,C254,P05,1,343.95
10365,C140,P11,3,1171.33
10366,C453,P19,6,1354.74
10367,C037,P03,1,431.56
10368,C160,P12,2,682.73
10369,C009,P19,7,1789.54
10370,C233,P19,1,323.06
10371,C099,P13,7,2314.93
10372,C147,P07,4,664.86
10373,C304,P15,6,1566.56
10374,C208,P07,8,1898.98
10375,C131,P08,9,2343.25
10376,C404,P05,6,2426.67
10377,C152,P14,9,2637.14
10378,C054,P04,4,1904.51
10379,C120,P10,6,1304.82
10380,C161,P20,8,2130.25
10381,C408,P15,9,3733.04
10382,C116,P18,3,955.23
10383,C075,P20,2,637.62
10384,C113,P13,6,728.02
10385,C456,P08,4,1037.76
10386,C420,P09,1,208.29
10387,C422,P16,8,3997.87
10388,C104,P19,9,2010.08
10389,C340,P16,9,4084.19
10390,C254,P07,2,740.99
10391,C227,P14,9,2127.3
10392,C112,P14,7,2221.9
10393,C473,P04,5,2181.07
10394,C099,P15,7,3173.43
10395,C153,P03,9,1477.42
10396,C349,P05,8,1886.63
10397,C402,P01,6,1404.54
10398,C384,P03,4,467.27
10399,C366,P15,1,339.3
10400,C338,P08,6,2651.57
10401,C194,P04,3,757.89
10402,C310,P02,6,2376.09
10403,C163,P10,6,2106.48
10404,C208,P04,4,1001.04
10405,C445,P03,2,312.85
10406,C169,P02,9,3453.57
10407,C484,P17,2,883.65
10408,C161,P20,3,1123.03
10409,C068,P13,1,107.15
10410,C289,P05,7,1305.45
10411,C398,P09,1,127.79
10412,C277,P06,9,2953.39
10413,C304,P05,1,402.59
10414,C404,P10,5,721.16
10415,C384,P08,7,3047.35
10416,C392,P07,3,966.61
10417,C135,P07,9,3383.89
10418,C195,P06,8,3908.49
10419,C401,P20,3,400.42
10420,C128,P03,5,2302.45
10421,C033,P19,7,1053.09
10422,C176,P15,4,1028.73
10423,C460,P04,5,2202.88
10424,C443,P12,3,1387.51
10425,C371,P06,9,2722.94
10426,C470,P19,9,3038.78
10427,C375,P04,7,2682.81
10428,C022,P15,2,866.21
10429,C238,P09,7,1040.23
10430,C158,P05,7,2968.19
10431,C038,P13,5,1462.55
10432,C230,P18,9,2522.24
10433,C365,P05,3,808.68
10434,C051,P16,4,1214.74
10435,C438,P19,1,478.02
10436,C264,P14,6,1915.69
10437,C283,P16,4,1925.08
10438,C027,P15,1,172.12
10439,C226,P04,2,779.31
10440,C277,P07,3,1274.69
10441,C286,P16,9,3344.86
10442,C097,P08,8,2742.15
10443,C284,P17,7,2281.48
10444,C367,P16,4,1777.49
10445,C448,P10,1,428.66
10446,C481,P10,8,1191.32
10447,C453,P02,4,1757.74
10448,C317,P09,3,796.88
10449,C304,P17,9,1813.31
10450,C147,P11,4,1791.63
10451,C004,P10,4,1091.24
10452,C035,P17,9,3810.11
10453,C192,P04,2,410.72
10454,C049,P16,5,507.86
10455,C017,P20,4,1192.73
10456,C172,P15,9,1260.82
10457,C220,P05,5,2008.75
10458,C158,P06,9,1893.87
10459,C477,P17,9,2497.12
10460,C046,P01,2,269.63
10461,C373,P19,9,1931.97
10462,C006,P04,3,1237.79
10463,C099,P17,4,642.54
10464,C380,P09,1,358.86
10465,C233,P02,1,466.97
10466,C037,P08,1,371.93
10467,C280,P15,9,3819.68
10468,C349,P07,8,1148.71
10469,C497,P06,5,1001.46
10470,C302,P01,5,2289.08
10471,C181,P15,9,3474.38
10472,C095,P07,3,1067.46
10473,C099,P17,3,1096.52
10474,C188,P02,7,1859.76
10475,C481,P09,9,1060.4
10476,C116,P09,6,2482.66
10477,C191,P13,2,742.97
10478,C253,P06,1,289.12
10479,C469,P06,2,919.81
10480,C416,P20,1,234.46
10481,C471,P20,9,1959.56
10482,C161,P03,8,3592.95
10483,C256,P17,7,2931.57
10484,C323,P17,3,917.98
10485,C128,P12,8,1218.35
10486,C018,P16,2,372.06
10487,C281,P15,2,724.98
10488,C490,P13,3,762.05
10489,C223,P01,7,3042.12
10490,C054,P17,1,479.98
10491,C058,P03,8,3378.04
10492,C323,P15,7,1757.13
10493,C360,P04,4,1661.9
10494,C174,P04,5,1202.88
10495,C280,P18,1,166.84
10496,C114,P17,4,453.43
10497,C288,P19,1,254.29
10498,C431,P11,1,461.42
10499,C342,P20,1,195.59
10500,C151,P03,7,1278.24
10501,C450,P08,7,3415.5
10502,C127,P14,4,440.01
10503,C155,P01,2,828.63
10504,C490,P14,3,685.64
10505,C386,P02,8,919.96
10506,C474,P04,8,3736.97
10507,C273,P19,6,935.14
10508,C104,P06,9,2886.41
10509,C417,P01,9,1886.6
10510,C393,P17,4,504.31
10511,C299,P08,1,119.97
10512,C246,P19,1,146.22
10513,C176,P01,5,642.73
10514,C039,P05,2,808.45
10515,C477,P16,6,1765.36
10516,C170,P06,7,1660.1
10517,C247,P08,1,267.35
10518,C026,P13,6,2829.47
10519,C355,P16,8,3714.41
10520,C306,P03,5,1931.35
10521,C409,P19,7,3177.11
10522,C408,P12,6,1367.16
10523,C013,P16,4,1009.77
10524,C316,P11,7,2418.39
10525,C391,P10,9,3145.05
10526,C313,P20,7,2048.76
10527,C036,P04,5,1301.32
10528,C173,P12,7,3461.3
10529,C020,P02,3,1285.35
10530,C321,P19,2,547.98
10531,C264,P05,5,1954.58
10532,C494,P08,4,831.3
10533,C400,P07,5,700.34
10534,C142,P14,8,1927.78
10535,C460,P03,4,1044.76
10536,C371,P18,9,959.53
10537,C471,P16,7,2981.42
10538,C143,P19,7,1705.74
10539,C092,P19,8,2657.34
10540,C354,P18,6,777.51
10541,C322,P20,8,1359.99
10542,C288,P16,3,1367.63
10543,C215,P08,1,343.48
10544,C447,P01,6,2880.68
10545,C342,P17,1,499.5
10546,C051,P12,9,2238.7
10547,C153,P11,2,439.04
10548,C186,P05,2,886.68
10549,C063,P12,7,3496.11
10550,C190,P17,2,703.71
10551,C125,P06,8,3344.45
10552,C150,P01,6,2476.19
10553,C314,P05,7,1694.95
10554,C058,P14,7,2307.96
10555,C342,P05,6,2599.34
10556,C305,P01,9,3377.21
10557,C180,P18,9,976.19
10558,C170,P16,7,1642.78
10559,C326,P09,9,1420.11
10560,C271,P19,3,579.57
10561,C054,P05,3,1386.59
10562,C491,P02,1,114.76
10563,C444,P15,5,939.6
10564,C101,P07,4,895.31
10565,C481,P04,2,693.51
10566,C264,P01,9,2822.77
10567,C053,P13,3,561.92
10568,C060,P20,8,1325.57
10569,C492,P07,6,1168.32
10570,C108,P15,5,1505.06
10571,C005,P14,1,208.47
10572,C103,P19,4,1916.16
10573,C196,P20,3,856.64
10574,C262,P18,1,123.52
10575,C365,P10,5,1958.53
10576,C480,P09,6,1389.23
10577,C372,P08,2,722.79
10578,C350,P10,3,635.51
10579,C047,P17,6,1969.78
10580,C355,P02,4,1635.44
10581,C311,P06,9,4240.83
10582,C424,P05,5,1022.25
10583,C308,P09,4,935.77
10584,C144,P05,2,571.41
10585,C269,P18,6,2825.22
10586,C370,P20,2,921.11
10587,C124,P09,7,951.66
10588,C106,P17,3,458.32
10589,C158,P17,9,2683.83
10590,C147,P12,5,713.24
10591,C145,P07,8,1905.86
10592,C120,P03,6,956.12
10593,C319,P10,8,2835.33
10594,C275,P02,3,1439.39
10595,C092,P03,3,1496.08
10596,C058,P16,5,1250.48
10597,C439,P02,3,1018.82
10598,C346,P10,8,3540.06
10599,C229,P06,8,1175.88
10600,C474,P11,2,751.65
10601,C117,P07,4,1054.15
10602,C318,P15,1,182.46
10603,C279,P06,4,1044.41
10604,C127,P20,4,521.54
10605,C393,P09,9,3403.47
10606,C396,P20,3,603.29
10607,C129,P12,2,449.12
10608,C058,P19,9,1335.89
10609,C122,P20,9,4012.77
10610,C001,P03,1,297.38
10611,C239,P15,6,1973.15
10612,C290,P02,8,2622.18
10613,C096,P02,3,792.59
10614,C126,P03,9,1593.11
10615,C118,P06,2,796.11
10616,C048,P15,6,904.94
10617,C089,P10,1,141.55
10618,C488,P09,7,2688.41
10619,C237,P01,3,550.6
10620,C373,P16,7,1558.96
10621,C385,P06,4,1160.36
10622,C272,P09,9,2517.66
10623,C189,P04,5,1917.16
10624,C487,P02,3,1048.12
10625,C192,P04,8,2862.07
10626,C447,P01,6,2313.73
10627,C069,P19,2,434.09
10628,C278,P10,3,686.8
10629,C349,P15,8,2201.59
10630,C247,P19,7,1560.89
10631,C451,P16,6,2963.85
10632,C076,P04,1,425.62
10633,C154,P02,9,1492.76
10634,C144,P13,3,306.71
10635,C435,P01,5,585.57
10636,C485,P17,7,1383.38
10637,C086,P13,7,1020.02
10638,C185,P04,3,940.01
10639,C285,P07,4,1772.79
10640,C462,P17,7,2762.9
10641,C220,P09,8,1489.95
10642,C069,P04,2,519.44
10643,C047,P19,9,2728.42
10644,C497,P01,7,2968.58
10645,C094,P10,8,3485.19
10646,C238,P04,6,2783.32
10647,C446,P09,6,1822.19
10648,C500,P13,9,3399.39
10649,C453,P14,4,578.88
10650,C204,P10,5,1630.58
10651,C400,P06,9,1795.29
10652,C218,P16,1,272.69
10653,C474,P06,4,1414.48
10654,C432,P17,7,1419.56
10655,C341,P10,9,1087.87
10656,C039,P18,6,624.56
10657,C100,P18,8,870.91
10658,C289,P03,9,930.06
10659,C254,P20,4,576.57
10660,C222,P15,1,195.8
10661,C357,P15,8,1507.91
10662,C023,P04,2,989.44
10663,C250,P09,1,222.4
10664,C010,P19,7,1056.78
10665,C246,P17,9,2864.03
10666,C325,P11,9,3988.65
10667,C100,P09,3,1113.67
10668,C290,P10,6,1310.6
10669,C180,P18,7,2272.53
10670,C223,P20,9,3473.48
10671,C394,P13,2,782.48
10672,C250,P08,8,2932.92
10673,C147,P07,7,3138.27
10674,C442,P17,4,1792.17
10675,C096,P15,2,663.15
10676,C257,P20,8,2175.54
10677,C325,P15,5,1783.14
10678,C493,P01,6,2563.71
10679,C004,P14,7,715.83
10680,C016,P05,1,496.8
10681,C280,P11,8,1385.26
10682,C336,P16,4,1152.4
10683,C247,P02,9,4039.31
10684,C258,P08,1,190.02
10685,C497,P11,2,581.44
10686,C476,P18,6,918.2
10687,C384,P03,1,258.03
10688,C160,P01,4,683.42
10689,C475,P11,8,1963.61
10690,C340,P16,5,1246.93
10691,C152,P18,9,4475.41
10692,C396,P16,6,2987.55
10693,C178,P10,1,145.91
10694,C163,P18,6,2342.33
10695,C380,P06,6,724.19
10696,C033,P19,6,672.46
10697,C417,P04,8,1137.07
10698,C445,P13,6,2917.17
10699,C179,P14,5,2381.73
10700,C427,P03,2,355.14
10701,C101,P10,4,658.68
10702,C268,P06,5,981.07
10703,C323,P01,4,1224.88
10704,C065,P14,2,655.76
10705,C417,P08,7,1320.46
10706,C168,P19,2,805.3
10707,C330,P14,1,223.82
10708,C043,P10,5,2344.26
10709,C044,P17,1,362.69
10710,C285,P09,1,274.54
10711,C397,P06,1,415.96
10712,C012,P11,6,2563.0
10713,C095,P07,9,1945.73
10714,C302,P17,1,235.89
10715,C386,P01,5,2371.91
10716,C253,P05,9,1493.07
10717,C499,P09,9,1051.74
10718,C242,P18,1,281.62
10719,C035,P02,8,3363.87
10720,C215,P11,1,408.67
10721,C337,P06,8,3742.5
10722,C090,P08,1,313.28
10723,C264,P04,5,700.13
10724,C093,P18,8,2683.8
10725,C410,P11,6,2468.15
10726,C458,P05,9,1235.98
10727,C090,P15,1,169.06
10728,C418,P18,9,944.25
10729,C115,P02,1,337.46
10730,C105,P11,3,1364.08
10731,C391,P13,1,368.27
10732,C196,P04,3,1478.45
10733,C314,P07,2,250.43
10734,C114,P11,2,922.4
10735,C493,P04,9,3830.65
10736,C075,P15,8,1805.57
10737,C413,P01,1,489.41
10738,C376,P03,4,860.7
10739,C420,P14,1,455.72
10740,C217,P06,1,452.3
10741,C277,P18,4,1612.25
10742,C249,P01,2,650.78
10743,C164,P06,3,444.0
10744,C394,P06,9,2815.1
10745,C357,P16,2,485.44
10746,C457,P05,4,1667.55
10747,C408,P17,1,403.25
10748,C192,P10,2,928.49
10749,C227,P18,5,529.66
10750,C177,P07,1,423.64
10751,C099,P03,7,3327.69
10752,C496,P13,4,1662.88
10753,C036,P15,6,912.47
10754,C466,P20,8,1060.09
10755,C497,P19,6,650.03
10756,C487,P03,2,703.0
10757,C096,P04,1,351.87
10758,C152,P05,8,3958.12
10759,C151,P01,8,2073.74
10760,C190,P04,9,2094.86
10761,C224,P12,6,2098.62
10762,C037,P10,1,430.24
10763,C268,P20,9,4272.39
10764,C369,P13,3,1263.75
10765,C183,P14,6,1624.02
10766,C013,P05,9,3185.69
10767,C279,P04,3,1327.56
10768,C217,P14,5,1481.22
10769,C355,P10,5,933.37
10770,C361,P17,7,1175.23
10771,C286,P10,4,400.25
10772,C273,P07,4,1549.18
10773,C369,P16,7,1011.07
10774,C062,P01,9,1777.82
10775,C084,P17,4,876.6
10776,C368,P09,4,1296.61
10777,C217,P06,6,1555.1
10778,C342,P19,6,2219.22
10779,C397,P13,7,855.79
10780,C187,P03,1,149.58
10781,C019,P07,3,899.05
10782,C177,P09,9,2113.07
10783,C100,P05,6,1309.95
10784,C396,P10,6,760.87
10785,C445,P17,5,2291.44
10786,C233,P12,3,1130.18
10787,C403,P16,5,743.24
10788,C076,P03,1,126.02
10789,C265,P09,3,1469.85
10790,C455,P15,4,1489.88
10791,C284,P05,5,1334.91
10792,C206,P13,9,3426.23
10793,C223,P14,4,1610.13
10794,C384,P20,3,1235.95
10795,C052,P15,1,291.15
10796,C339,P16,6,1631.72
10797,C367,P13,7,730.88
10798,C144,P17,8,3764.98
10799,C373,P08,1,341.32
10800,C069,P02,4,725.05
10801,C099,P05,5,2339.21
10802,C396,P06,2,931.95
10803,C025,P12,1,495.67
10804,C436,P18,8,3596.98
10805,C379,P01,6,2994.68
10806,C469,P17,5,989.37
10807,C484,P11,9,3932.1
10808,C053,P10,2,858.42
10809,C151,P19,8,1539.01
10810,C144,P14,9,1254.38
10811,C057,P10,1,491.77
10812,C039,P15,7,1528.87
10813,C109,P19,8,3586.85
10814,C181,P04,3,304.95
10815,C042,P02,4,433.64
10816,C186,P09,3,859.05
10817,C423,P10,7,1368.4
10818,C398,P11,9,3383.43
10819,C223,P14,3,978.68
10820,C122,P07,6,785.97
10821,C133,P15,8,1320.41
10822,C163,P19,6,1531.32
10823,C215,P15,2,348.48
10824,C221,P08,7,2918.22
10825,C235,P11,2,532.86
10826,C331,P09,2,274.75
10827,C146,P15,2,587.47
10828,C239,P01,1,136.34
10829,C076,P01,1,151.57
10830,C009,P19,7,1370.91
10831,C074,P03,5,2219.06
10832,C442,P10,3,1409.54
10833,C492,P08,1,430.5
10834,C401,P15,6,1401.79
10835,C253,P10,1,208.98
10836,C230,P01,9,2876.96
10837,C007,P18,2,777.48
10838,C174,P02,1,497.35
10839,C141,P19,7,1068.4
10840,C168,P13,6,718.3
10841,C170,P01,6,2266.45
10842,C393,P02,5,2164.45
10843,C434,P16,4,1754.16
10844,C283,P15,4,1485.54
10845,C122,P13,3,1444.82
10846,C194,P16,8,2435.22
10847,C005,P17,7,3258.68
10848,C029,P07,9,4384.12
10849,C165,P17,1,438.86
10850,C422,P07,7,1567.32
10851,C339,P13,4,713.95
10852,C136,P05,7,2234.74
10853,C496,P17,1,281.21
10854,C365,P03,5,2255.52
10855,C321,P07,3,420.04
10856,C342,P17,5,1015.48
10857,C500,P07,4,1602.88
10858,C145,P01,2,275.99
10859,C327,P17,4,913.22
10860,C217,P17,3,764.59
10861,C301,P11,1,349.04
10862,C132,P03,8,1306.02
10863,C292,P15,5,2221.21
10864,C070,P11,4,1116.07
10865,C252,P16,5,2334.04
10866,C415,P09,4,1148.59
10867,C275,P01,3,630.05
10868,C445,P16,5,783.66
10869,C364,P09,4,405.99
10870,C182,P19,1,312.86
10871,C167,P12,3,428.59
10872,C091,P19,8,2053.53
10873,C202,P09,7,2349.96
10874,C346,P07,2,420.55
10875,C019,P14,1,170.09
10876,C039,P19,3,1229.67
10877,C126,P19,5,2393.58
10878,C451,P02,1,140.18
10879,C173,P09,3,486.71
10880,C141,P13,3,1452.02
10881,C242,P15,5,575.57
10882,C220,P03,3,1473.16
10883,C126,P11,9,916.72
10884,C058,P14,1,449.47
10885,C148,P08,4,891.72
10886,C476,P18,4,1901.74
10887,C456,P19,1,226.78
10888,C317,P16,2,723.45
10889,C383,P02,1,132.01
10890,C361,P08,6,1181.59
10891,C423,P06,3,1228.42
10892,C001,P12,7,2180.32
10893,C387,P15,5,2355.94
10894,C461,P08,9,2443.51
10895,C348,P04,7,3135.47
